index,Dữ liệu,Phương pháp,Uniform_acc,Uniform_f1,Random_acc,Random_f1
0,BC,DAE_DUO,0.984,0.983,0.992,0.992
1,CE,DAE_DUO,0.796,0.363,0.828,0.391
2,CMC,DAE_DUO,0.512,0.491,0.532,0.512
3,IM,DAE_DUO,0.962,0.961,0.955,0.954
4,TTT,DAE_DUO,0.729,0.701,0.739,0.714
0,BC,DAE_DUO,0.984,0.983,0.992,0.992
1,CE,DAE_DUO,0.779,0.355,0.825,0.386
2,CMC,DAE_DUO,0.518,0.491,0.529,0.51
3,IM,DAE_DUO,0.948,0.946,0.95,0.95
4,TTT,DAE_DUO,0.739,0.7,0.765,0.736
0,BC,DAE_DUO,0.992,0.992,0.992,0.992
1,CE,DAE_DUO,0.747,0.326,0.813,0.378
2,CMC,DAE_DUO,0.498,0.465,0.468,0.436
3,IM,DAE_DUO,0.922,0.919,0.943,0.942
4,TTT,DAE_DUO,0.729,0.666,0.75,0.712
