Dữ liệu,Phương pháp,Uniform_acc,Uniform_f1,Random_acc,Random_f1
BC,KNN,0.956140350877193,0.9548872180451127,0.956140350877193,0.9548872180451127
BC,RDF,0.9473684210526315,0.9453324808184144,0.9649122807017544,0.9637980311209908
BC,MICE,0.9649122807017544,0.9640151515151516,0.9736842105263158,0.9730857007948375
BC,DAE,0.8708771929824561,0.8674856378374125,0.9410526315789474,0.9400124736883138
BC,VAE,0.7656140350877193,0.7598284410167624,0.9147368421052632,0.9106649616368286
CE,KNN,0.7052023121387283,0.3030526801608756,0.7196531791907514,0.21685542971352434
CE,RDF,0.7167630057803468,0.20875420875420878,0.7138728323699421,0.34622564935064937
CE,MICE,0.7138728323699421,0.25065674657848813,0.7514450867052023,0.4857543780871127
CE,DAE,0.7194219653179191,0.2902711144427786,0.7367630057803468,0.22875420875420877
CE,VAE,0.7367630057803468,0.22875420875420877,0.057572254335260115,0.0381058495821727
CMC,KNN,0.39661016949152544,0.3778585840558803,0.5220338983050847,0.5117960426179605
CMC,RDF,0.36610169491525424,0.3295481286338252,0.4711864406779661,0.45152616715736343
CMC,MICE,0.4101694915254237,0.3945154707866572,0.48135593220338985,0.46261355695317957
CMC,DAE,0.4267796610169492,0.3854590602254371,0.4640677966101695,0.4260283164224567
CMC,VAE,0.39966101694915257,0.3688987033739933,0.4471186440677966,0.42737719935064106
IM,KNN,0.638095238095238,0.6466803627352057,0.9809523809523809,0.9813305889157283
IM,RDF,0.7523809523809524,0.7605261418662483,0.9785714285714285,0.9791121576835862
IM,MICE,0.6880952380952381,0.685973609300589,0.9738095238095238,0.9742521779750775
IM,DAE,0.4938095238095238,0.49405509104497203,0.8342857142857143,0.8308641672853542
IM,VAE,0.3985714285714286,0.3990911303909283,0.6223809523809524,0.5925940093681646
TTT,KNN,0.65625,0.39622641509433965,0.65625,0.39622641509433965
TTT,RDF,0.65625,0.39622641509433965,0.6614583333333334,0.4124017138283347
TTT,MICE,0.65625,0.39622641509433965,0.671875,0.44347826086956527
TTT,DAE,0.67625,0.41622641509433966,0.67625,0.41622641509433966
TTT,VAE,0.67625,0.41622641509433966,0.67625,0.41622641509433966
